address,neighbourhood,zipcode,latitude,longitude
"Cornwall Street, Boston, MA 02130, United States",Jamaica Plain,02130,42.311471674493305,-71.10529985856851
"Cumberland Street, Boston, MA 02115, United States",Back Bay,02115,42.34323698976152,-71.08243592270834
"Dartmouth Street, Boston, MA 02116, United States",Back Bay,02116,42.34961978643654,-71.0777197745603
"Newbury Street, Boston, MA 02116, United States",Back Bay,02116,42.34892383089698,-71.08127251577542
"Gloucester Street, Boston, MA 02115, United States",Back Bay,02115,42.34923735794017,-71.08452694664724
"Newbury Street, Boston, MA 02116, United States",Back Bay,02116,42.35047181357638,-71.0819709061086
"Newbury Street, Boston, MA 02116, United States",Back Bay,02116,42.34936658147091,-71.08199538348683
"Newbury Street, Boston, MA 02114, United States",Back Bay,02114,42.34950979261725,-71.08205049512304
"Newbury Street, Boston, MA 02116, United States",Back Bay,02116,42.35082185936092,-71.08203890985298
"Newbury Street, Boston, MA 02116, United States",Back Bay,02116,42.35030730652297,-71.08285057824554
"Gartland Street, Boston, MA 02130, United States",Jamaica Plain,02130,42.30711033673986,-71.10582362671403
"Gloucester Street, Boston, MA 02115, United States",Back Bay,02115,42.347616590105844,-71.08494956680562
"West Newton Street, Boston, MA 02116, United States",South End,02116,42.345201099550245,-71.07882827612877
"Newbury Street, Boston, MA 02116, United States",Back Bay,02116,42.34935164400062,-71.08201364187337
"Marlborough Street, Boston, MA 02116, United States",Back Bay,02116,42.3528694442241,-71.08313771032157
"Boston, MA 02115, United States",Back Bay,02115,42.345299249027164,-71.08564212118453
"Beacon Street, Boston, MA 02116, United States",Back Bay,02116,42.35289905728729,-71.08224032764254
"Commonwealth Avenue, Boston, MA 02116, United States",Back Bay,02116,42.350050674641956,-71.08124416584337
"Beacon Street, Boston, MA 02115, United States",Back Bay,02115,42.35042731259441,-71.08662782304664
"Beacon Street, Boston, MA 02116, United States",Back Bay,02116,42.35255996024848,-71.0843337755702
"Blackwood Streetreet, Boston, MA 02115, United States",Back Bay,02115,42.34378679176862,-71.08138591193283
"Eliot Street, Jamaica Plain, MA 02130, United States",Jamaica Plain,02130,42.30983484647106,-71.11457927159456
"Cumberland Street, Boston, MA 02115, United States",Back Bay,02115,42.34314092444466,-71.08156872463518
"Huntington Avenue, Boston, MA 02115, United States",Back Bay,02115,42.343569137928085,-71.08194891737973
"Dartmouth Street, Boston, MA 02116, United States",Back Bay,02116,42.349748750356035,-71.07856759744332
"Newbury Street, Boston, MA 02116, United States",Back Bay,02116,42.348771760924855,-71.08423396297167
"Cumberland Street, Boston, MA 02115, United States",Back Bay,02115,42.34402836742756,-71.08292014163338
